,folder,no,sl0,sl1,sl2,dur,diff
10,서울대 최신기출 2,37,27.562,24.971,20.948,"[(0, 2001, 2001), (2001, 5066, 3065), (5066, 6496, 1430), (6496, 10577, 4081), (10577, 13322, 2745), (13322, 17919, 4597), (17919, 22615, 4696), (22615, 23662, 1047), (23662, 27562, 3900), (27562, 30627, 3065), (30627, 31957, 1330), (31957, 35540, 3583), (35540, 38121, 2581), (38121, 39304, 1183), (39304, 42689, 3385), (42689, 47477, 4788), (47477, 48552, 1075), (48552, 52533, 3981), (52533, 53385, 852), (53385, 57417, 4032), (57417, 58426, 1009), (58426, 61778, 3352), (61778, 62771, 993), (62771, 66298, 3527), (66298, 67260, 962), (67260, 73481, 6221)]",2.591
11,서울대 최신기출 2,41,25.223,23.56,20.623,"[(0, 1897, 1897), (1897, 4280, 2383), (4280, 7026, 2746), (7026, 10426, 3400), (10426, 13806, 3380), (13806, 14698, 892), (14698, 16787, 2089), (16787, 20017, 3230), (20017, 21098, 1081), (21098, 25223, 4125), (25223, 27485, 2262), (27485, 30084, 2599), (30084, 33629, 3545), (33629, 36969, 3340), (36969, 38112, 1143), (38112, 40218, 2106), (40218, 43514, 3296), (43514, 44569, 1055), (44569, 48783, 4214), (48783, 49692, 909), (49692, 53287, 3595), (53287, 54197, 910), (54197, 57829, 3632), (57829, 58816, 987), (58816, 61924, 3108), (61924, 62907, 983), (62907, 69406, 6499)]",1.663
12,서울대 최신기출 2,42,28.526,26.631,23.575,"[(0, 2019, 2019), (2019, 4059, 2040), (4059, 7643, 3584), (7643, 10226, 2583), (10226, 13696, 3470), (13696, 17081, 3385), (17081, 23101, 6020), (23101, 24230, 1129), (24230, 28526, 4296), (28526, 30373, 1847), (30373, 33979, 3606), (33979, 36820, 2841), (36820, 40233, 3413), (40233, 43579, 3346), (43579, 49645, 6066), (49645, 50800, 1155), (50800, 55157, 4357), (55157, 56172, 1015), (56172, 60626, 4454), (60626, 61670, 1044), (61670, 65938, 4268), (65938, 67029, 1091), (67029, 70987, 3958), (70987, 71998, 1011), (71998, 78732, 6734)]",1.895
13,서울대 최신기출 2,44,31.311,29.174,22.714,"[(0, 2106, 2106), (2106, 4949, 2843), (4949, 8136, 3187), (8136, 11487, 3351), (11487, 15128, 3641), (15128, 19444, 4316), (19444, 25332, 5888), (25332, 26494, 1162), (26494, 31311, 4817), (31311, 34152, 2841), (34152, 37254, 3102), (37254, 40523, 3269), (40523, 44192, 3669), (44192, 48338, 4146), (48338, 54410, 6072), (54410, 55634, 1224), (55634, 60485, 4851), (60485, 61491, 1006), (61491, 65182, 3691), (65182, 66202, 1020), (66202, 69966, 3764), (69966, 70984, 1018), (70984, 74646, 3662), (74646, 75690, 1044), (75690, 83199, 7509)]",2.137
14,서울대 최신기출 2,45,26.189,24.235,19.949,"[(0, 2053, 2053), (2053, 5392, 3339), (5392, 7457, 2065), (7457, 11007, 3550), (11007, 14383, 3376), (14383, 16942, 2559), (16942, 21318, 4376), (21318, 22332, 1014), (22332, 26189, 3857), (26189, 29497, 3308), (29497, 31468, 1971), (31468, 35402, 3934), (35402, 38934, 3532), (38934, 41270, 2336), (41270, 45510, 4240), (45510, 46487, 977), (46487, 50424, 3937), (50424, 51344, 920), (51344, 54404, 3060), (54404, 55375, 971), (55375, 58636, 3261), (58636, 59571, 935), (59571, 63216, 3645), (63216, 64144, 928), (64144, 70373, 6229)]",1.954
15,서울대 최신기출 2,52,39.757,40.372,23.393,"[(0, 2137, 2137), (2137, 8568, 6431), (8568, 13358, 4790), (13358, 17099, 3741), (17099, 21762, 4663), (21762, 27491, 5729), (27491, 34992, 7501), (34992, 35935, 943), (35935, 39757, 3822), (39757, 46571, 6814), (46571, 51782, 5211), (51782, 60701, 8919), (60701, 67226, 6525), (67226, 75260, 8034), (75260, 76290, 1030), (76290, 80129, 3839), (80129, 80984, 855), (80984, 85350, 4366), (85350, 86301, 951), (86301, 90686, 4385), (90686, 91610, 924), (91610, 95223, 3613), (95223, 96164, 941), (96164, 103522, 7358)]",0.615
16,서울대 최신기출 2,56,40.882,40.786,22.951,"[(0, 2223, 2223), (2223, 6177, 3954), (6177, 9324, 3147), (9324, 14040, 4716), (14040, 16735, 2695), (16735, 18999, 2264), (18999, 22651, 3652), (22651, 25504, 2853), (25504, 28159, 2655), (28159, 34577, 6418), (34577, 35580, 1003), (35580, 40882, 5302), (40882, 48776, 7894), (48776, 56792, 8016), (56792, 62749, 5957), (62749, 65784, 3035), (65784, 75423, 9639), (75423, 76425, 1002), (76425, 81668, 5243), (81668, 82522, 854), (82522, 86710, 4188), (86710, 87634, 924), (87634, 91654, 4020), (91654, 92660, 1006), (92660, 96479, 3819), (96479, 97458, 979), (97458, 104619, 7161)]",0.096
17,서울대 최신기출 2,57,38.287,33.552,25.492,"[(0, 1928, 1928), (1928, 5991, 4063), (5991, 12196, 6205), (12196, 17283, 5087), (17283, 19592, 2309), (19592, 24671, 5079), (24671, 27867, 3196), (27867, 33179, 5312), (33179, 34220, 1041), (34220, 38287, 4067), (38287, 41986, 3699), (41986, 47975, 5989), (47975, 54706, 6731), (54706, 59296, 4590), (59296, 66714, 7418), (66714, 67806, 1092), (67806, 71839, 4033), (71839, 72804, 965), (72804, 77442, 4638), (77442, 78374, 932), (78374, 83413, 5039), (83413, 84405, 992), (84405, 88899, 4494), (88899, 89967, 1068), (89967, 97331, 7364)]",4.735
18,서울대 최신기출 2,60,38.458,39.423,26.402,"[(0, 1797, 1797), (1797, 3805, 2008), (3805, 9642, 5837), (9642, 13667, 4025), (13667, 17713, 4046), (17713, 27292, 9579), (27292, 33853, 6561), (33853, 34822, 969), (34822, 38458, 3636), (38458, 46266, 7808), (46266, 50773, 4507), (50773, 55217, 4444), (55217, 59770, 4553), (59770, 66256, 6486), (66256, 73291, 7035), (73291, 74338, 1047), (74338, 77881, 3543), (77881, 78736, 855), (78736, 82597, 3861), (82597, 83505, 908), (83505, 88423, 4918), (88423, 89405, 982), (89405, 95016, 5611), (95016, 95900, 884), (95900, 104283, 8383)]",0.965
19,서울대 최신기출 3,37,27.812,25.893,22.232,"[(0, 2084, 2084), (2084, 5580, 3496), (5580, 8502, 2922), (8502, 11906, 3404), (11906, 14761, 2855), (14761, 17494, 2733), (17494, 22263, 4769), (22263, 23376, 1113), (23376, 27812, 4436), (27812, 31271, 3459), (31271, 34253, 2982), (34253, 37590, 3337), (37590, 38845, 1255), (38845, 40632, 1787), (40632, 43268, 2636), (43268, 48264, 4996), (48264, 49402, 1138), (49402, 53705, 4303), (53705, 54591, 886), (54591, 58731, 4140), (58731, 59652, 921), (59652, 63129, 3477), (63129, 64042, 913), (64042, 68154, 4112), (68154, 69070, 916), (69070, 75937, 6867)]",1.919
