,folder,no,sl0,sl1,sl2,dur,diff
10,Actual Test 02,41,31.229,28.991,17.99,"[(0, 2297, 2297), (2297, 4244, 1947), (4244, 6260, 2016), (6260, 11543, 5283), (11543, 14450, 2907), (14450, 19554, 5104), (19554, 22997, 3443), (22997, 25563, 2566), (25563, 31229, 5666), (31229, 33176, 1947), (33176, 35191, 2015), (35191, 40475, 5284), (40475, 43382, 2907), (43382, 48486, 5104), (48486, 51929, 3443), (51929, 54495, 2566), (54495, 60220, 5725), (60220, 60957, 737), (60957, 63148, 2191), (63148, 63922, 774), (63922, 66555, 2633), (66555, 67477, 922), (67477, 70845, 3368), (70845, 71707, 862), (71707, 78210, 6503)]",2.238
11,Actual Test 02,42,38.163,35.872,22.277,"[(0, 2312, 2312), (2312, 4363, 2051), (4363, 5298, 935), (5298, 14244, 8946), (14244, 18952, 4708), (18952, 28207, 9255), (28207, 32116, 3909), (32116, 32979, 863), (32979, 38163, 5184), (38163, 40215, 2052), (40215, 41150, 935), (41150, 50096, 8946), (50096, 54803, 4707), (54803, 64059, 9256), (64059, 67967, 3908), (67967, 68831, 864), (68831, 74035, 5204), (74035, 74922, 887), (74922, 78498, 3576), (78498, 79386, 888), (79386, 82938, 3552), (82938, 83891, 953), (83891, 87918, 4027), (87918, 88791, 873), (88791, 96312, 7521)]",2.291
12,Actual Test 02,44,31.475,29.178,17.217,"[(0, 2264, 2264), (2264, 5363, 3099), (5363, 7189, 1826), (7189, 8264, 1075), (8264, 9885, 1621), (9885, 13608, 3723), (13608, 15592, 1984), (15592, 17002, 1410), (17002, 18668, 1666), (18668, 22309, 3641), (22309, 25620, 3311), (25620, 31475, 5855), (31475, 34574, 3099), (34574, 36400, 1826), (36400, 37474, 1074), (37474, 39095, 1621), (39095, 42818, 3723), (42818, 44803, 1985), (44803, 46213, 1410), (46213, 47879, 1666), (47879, 51519, 3640), (51519, 54831, 3312), (54831, 60653, 5822), (60653, 61411, 758), (61411, 63992, 2581), (63992, 64861, 869), (64861, 67559, 2698), (67559, 68432, 873), (68432, 71236, 2804), (71236, 72065, 829), (72065, 77870, 5805)]",2.297
13,Actual Test 02,45,31.85,29.368,16.13,"[(0, 2407, 2407), (2407, 3465, 1058), (3465, 4434, 969), (4434, 5544, 1110), (5544, 8777, 3233), (8777, 10239, 1462), (10239, 11775, 1536), (11775, 14217, 2442), (14217, 18052, 3835), (18052, 20168, 2116), (20168, 24275, 4107), (24275, 25395, 1120), (25395, 27333, 1938), (27333, 31850, 4517), (31850, 32908, 1058), (32908, 33877, 969), (33877, 34986, 1109), (34986, 38220, 3234), (38220, 39682, 1462), (39682, 41218, 1536), (41218, 43660, 2442), (43660, 47495, 3835), (47495, 49611, 2116), (49611, 53718, 4107), (53718, 54838, 1120), (54838, 56776, 1938), (56776, 61218, 4442), (61218, 62008, 790), (62008, 64565, 2557), (64565, 65455, 890), (65455, 67642, 2187), (67642, 68565, 923), (68565, 70580, 2015), (70580, 71523, 943), (71523, 77348, 5825)]",2.482
14,Actual Test 02,56,49.379,44.646,23.603,"[(0, 2469, 2469), (2469, 6942, 4473), (6942, 9578, 2636), (9578, 12486, 2908), (12486, 14787, 2301), (14787, 17714, 2927), (17714, 20695, 2981), (20695, 21033, 338), (21033, 32545, 11512), (32545, 33435, 890), (33435, 36102, 2667), (36102, 39232, 3130), (39232, 42655, 3423), (42655, 43606, 951), (43606, 49379, 5773), (49379, 60066, 10687), (60066, 76832, 16766), (76832, 77270, 438), (77270, 83524, 6254), (83524, 87015, 3491), (87015, 88162, 1147), (88162, 94025, 5863), (94025, 94869, 844), (94869, 99548, 4679), (99548, 100477, 929), (100477, 104877, 4400), (104877, 105904, 1027), (105904, 109710, 3806), (109710, 110647, 937), (110647, 117628, 6981)]",4.733
15,Actual Test 03,37,35.189,32.986,21.084,"[(0, 2240, 2240), (2240, 5442, 3202), (5442, 8305, 2863), (8305, 9152, 847), (9152, 12658, 3506), (12658, 14030, 1372), (14030, 16281, 2251), (16281, 20130, 3849), (20130, 22756, 2626), (22756, 26174, 3418), (26174, 29924, 3750), (29924, 30774, 850), (30774, 35189, 4415), (35189, 38391, 3202), (38391, 41254, 2863), (41254, 42101, 847), (42101, 45607, 3506), (45607, 46979, 1372), (46979, 49230, 2251), (49230, 53079, 3849), (53079, 55705, 2626), (55705, 59124, 3419), (59124, 62873, 3749), (62873, 63723, 850), (63723, 68175, 4452), (68175, 69046, 871), (69046, 72704, 3658), (72704, 73414, 710), (73414, 76964, 3550), (76964, 77901, 937), (77901, 81483, 3582), (81483, 82386, 903), (82386, 89259, 6873)]",2.203
16,Actual Test 03,41,25.343,22.991,19.192,"[(0, 2285, 2285), (2285, 4955, 2670), (4955, 6874, 1919), (6874, 10217, 3343), (10217, 11004, 787), (11004, 14150, 3146), (14150, 19628, 5478), (19628, 20620, 992), (20620, 25343, 4723), (25343, 28013, 2670), (28013, 29931, 1918), (29931, 33274, 3343), (33274, 34062, 788), (34062, 37208, 3146), (37208, 42686, 5478), (42686, 43677, 991), (43677, 48334, 4657), (48334, 49148, 814), (49148, 52112, 2964), (52112, 52963, 851), (52963, 56344, 3381), (56344, 57308, 964), (57308, 60039, 2731), (60039, 60916, 877), (60916, 67526, 6610)]",2.352
17,Actual Test 03,42,26.373,24.121,19.435,"[(0, 2271, 2271), (2271, 4559, 2288), (4559, 5869, 1310), (5869, 7958, 2089), (7958, 11173, 3215), (11173, 12112, 939), (12112, 13718, 1606), (13718, 16470, 2752), (16470, 20668, 4198), (20668, 21753, 1085), (21753, 26373, 4620), (26373, 28660, 2287), (28660, 29971, 1311), (29971, 32061, 2090), (32061, 35275, 3214), (35275, 36215, 940), (36215, 37821, 1606), (37821, 40573, 2752), (40573, 44770, 4197), (44770, 45856, 1086), (45856, 50494, 4638), (50494, 51347, 853), (51347, 54517, 3170), (54517, 55326, 809), (55326, 58428, 3102), (58428, 59629, 1201), (59629, 63033, 3404), (63033, 64024, 991), (64024, 69929, 5905)]",2.252
18,Actual Test 03,44,29.358,26.972,20.939,"[(0, 2400, 2400), (2400, 5526, 3126), (5526, 6361, 835), (6361, 9367, 3006), (9367, 12467, 3100), (12467, 16160, 3693), (16160, 19242, 3082), (19242, 23621, 4379), (23621, 24799, 1178), (24799, 29358, 4559), (29358, 32484, 3126), (32484, 33319, 835), (33319, 36325, 3006), (36325, 39426, 3101), (39426, 43119, 3693), (43119, 46200, 3081), (46200, 50579, 4379), (50579, 51757, 1178), (51757, 56330, 4573), (56330, 57219, 889), (57219, 60352, 3133), (60352, 61302, 950), (61302, 64836, 3534), (64836, 65993, 1157), (65993, 69419, 3426), (69419, 70397, 978), (70397, 77269, 6872)]",2.386
19,Actual Test 03,52,36.459,32.787,21.894,"[(0, 2242, 2242), (2242, 6785, 4543), (6785, 9561, 2776), (9561, 14861, 5300), (14861, 21269, 6408), (21269, 26158, 4889), (26158, 30110, 3952), (30110, 31072, 962), (31072, 36459, 5387), (36459, 40432, 3973), (40432, 47484, 7052), (47484, 62747, 15263), (62747, 63936, 1189), (63936, 69246, 5310), (69246, 70208, 962), (70208, 74234, 4026), (74234, 75141, 907), (75141, 77842, 2701), (77842, 78964, 1122), (78964, 83096, 4132), (83096, 84146, 1050), (84146, 91140, 6994)]",3.672
