,folder,no,sl0,sl1,sl2,dur,diff
0,서울대 최신기출 1,37,30.151,27.46,23.315,"[(0, 2058, 2058), (2058, 25237, 23179), (25237, 26286, 1049), (26286, 30151, 3865), (30151, 45429, 15278), (45429, 52656, 7227), (52656, 53723, 1067), (53723, 57611, 3888), (57611, 58508, 897), (58508, 63226, 4718), (63226, 64149, 923), (64149, 68343, 4194), (68343, 69308, 965), (69308, 73256, 3948), (73256, 74197, 941), (74197, 80926, 6729)]",2.691
1,서울대 최신기출 1,41,27.478,25.759,21.159,"[(0, 1946, 1946), (1946, 22225, 20279), (22225, 23294, 1069), (23294, 27478, 4184), (27478, 47982, 20504), (47982, 49049, 1067), (49049, 53237, 4188), (53237, 54136, 899), (54136, 57658, 3522), (57658, 58616, 958), (58616, 62846, 4230), (62846, 63818, 972), (63818, 66959, 3141), (66959, 67906, 947), (67906, 74396, 6490)]",1.719
2,서울대 최신기출 1,42,26.371,24.74,21.43,"[(0, 1995, 1995), (1995, 20414, 18419), (20414, 21515, 1101), (21515, 26371, 4856), (26371, 40697, 14326), (40697, 44954, 4257), (44954, 46104, 1150), (46104, 51111, 5007), (51111, 52037, 926), (52037, 55042, 3005), (55042, 56002, 960), (56002, 59793, 3791), (59793, 60780, 987), (60780, 64658, 3878), (64658, 65631, 973), (65631, 72541, 6910)]",1.631
3,서울대 최신기출 1,44,28.636,26.413,21.384,"[(0, 2051, 2051), (2051, 23014, 20963), (23014, 24067, 1053), (24067, 28636, 4569), (28636, 49238, 20602), (49238, 50484, 1246), (50484, 55049, 4565), (55049, 56028, 979), (56028, 59640, 3612), (59640, 60622, 982), (60622, 64142, 3520), (64142, 65135, 993), (65135, 68416, 3281), (68416, 69387, 971), (69387, 76433, 7046)]",2.223
4,서울대 최신기출 1,45,26.355,24.232,19.864,"[(0, 2088, 2088), (2088, 21533, 19445), (21533, 22557, 1024), (22557, 26355, 3798), (26355, 42082, 15727), (42082, 45606, 3524), (45606, 46652, 1046), (46652, 50587, 3935), (50587, 51456, 869), (51456, 55176, 3720), (55176, 56085, 909), (56085, 59704, 3619), (59704, 60657, 953), (60657, 63854, 3197), (63854, 64814, 960), (64814, 70451, 5637)]",2.123
5,서울대 최신기출 1,52,40.695,39.058,26.094,"[(0, 2045, 2045), (2045, 7123, 5078), (7123, 14688, 7565), (14688, 21400, 6712), (21400, 29369, 7969), (29369, 36161, 6792), (36161, 37220, 1059), (37220, 40695, 3475), (40695, 45488, 4793), (45488, 52714, 7226), (52714, 59811, 7097), (59811, 67929, 8118), (67929, 75180, 7251), (75180, 76237, 1057), (76237, 79753, 3516), (79753, 80645, 892), (80645, 85384, 4739), (85384, 86264, 880), (86264, 90805, 4541), (90805, 91741, 936), (91741, 96785, 5044), (96785, 97702, 917), (97702, 105847, 8145)]",1.637
6,서울대 최신기출 1,56,37.659,36.862,21.478,"[(0, 2077, 2077), (2077, 11784, 9707), (11784, 19029, 7245), (19029, 26367, 7338), (26367, 33097, 6730), (33097, 37659, 4562), (37659, 47252, 9593), (47252, 54578, 7326), (54578, 62668, 8090), (62668, 69527, 6859), (69527, 70616, 1089), (70616, 74521, 3905), (74521, 75421, 900), (75421, 79086, 3665), (79086, 80012, 926), (80012, 83689, 3677), (83689, 84646, 957), (84646, 88585, 3939), (88585, 89516, 931), (89516, 95999, 6483)]",0.797
7,서울대 최신기출 1,57,40.009,38.765,23.05,"[(0, 2027, 2027), (2027, 8819, 6792), (8819, 14278, 5459), (14278, 25467, 11189), (25467, 33482, 8015), (33482, 34687, 1205), (34687, 40009, 5322), (40009, 47050, 7041), (47050, 52646, 5596), (52646, 55566, 2920), (55566, 60589, 5023), (60589, 64021, 3432), (64021, 72315, 8294), (72315, 73497, 1182), (73497, 78774, 5277), (78774, 79706, 932), (79706, 83285, 3579), (83285, 84287, 1002), (84287, 87664, 3377), (87664, 88667, 1003), (88667, 93137, 4470), (93137, 94088, 951), (94088, 101824, 7736)]",1.244
8,서울대 최신기출 1,59,35.95,33.449,25.111,"[(0, 2062, 2062), (2062, 9678, 7616), (9678, 21295, 11617), (21295, 31369, 10074), (31369, 32461, 1092), (32461, 35950, 3489), (35950, 43242, 7292), (43242, 54847, 11605), (54847, 64680, 9833), (64680, 65837, 1157), (65837, 69399, 3562), (69399, 70355, 956), (70355, 74962, 4607), (74962, 75933, 971), (75933, 80226, 4293), (80226, 81188, 962), (81188, 85522, 4334), (85522, 86505, 983), (86505, 94510, 8005)]",2.501
9,서울대 최신기출 1,60,41.549,40.187,22.055,"[(0, 1836, 1836), (1836, 12344, 10508), (12344, 19360, 7016), (19360, 36148, 16788), (36148, 37135, 987), (37135, 41549, 4414), (41549, 51977, 10428), (51977, 58861, 6884), (58861, 76401, 17540), (76401, 77382, 981), (77382, 81736, 4354), (81736, 82600, 864), (82600, 85985, 3385), (85985, 86914, 929), (86914, 89937, 3023), (89937, 90895, 958), (90895, 94892, 3997), (94892, 95851, 959), (95851, 103791, 7940)]",1.362
