,folder,no,sl0,sl1,sl2,dur,diff
10,2. 최신기출 TEST 2,37,28.615,26.637,22.043,"[(0, 2293, 2293), (2293, 6270, 3977), (6270, 8691, 2421), (8691, 11117, 2426), (11117, 14031, 2914), (14031, 18148, 4117), (18148, 23046, 4898), (23046, 24173, 1127), (24173, 28615, 4442), (28615, 30852, 2237), (30852, 32614, 1762), (32614, 35170, 2556), (35170, 37787, 2617), (37787, 40502, 2715), (40502, 44736, 4234), (44736, 49562, 4826), (49562, 50753, 1191), (50753, 55252, 4499), (55252, 56214, 962), (56214, 59971, 3757), (59971, 60952, 981), (60952, 64560, 3608), (64560, 65654, 1094), (65654, 69597, 3943), (69597, 70590, 993), (70590, 77295, 6705)]",1.978
11,2. 최신기출 TEST 2,41,32.191,30.305,20.546,"[(0, 2201, 2201), (2201, 3105, 904), (3105, 4527, 1422), (4527, 7126, 2599), (7126, 12474, 5348), (12474, 14672, 2198), (14672, 18534, 3862), (18534, 21877, 3343), (21877, 25886, 4009), (25886, 26933, 1047), (26933, 32191, 5258), (32191, 34592, 2401), (34592, 36950, 2358), (36950, 37889, 939), (37889, 42198, 4309), (42198, 44571, 2373), (44571, 45466, 895), (45466, 48790, 3324), (48790, 52075, 3285), (52075, 56052, 3977), (56052, 57190, 1138), (57190, 62496, 5306), (62496, 63429, 933), (63429, 66603, 3174), (66603, 67619, 1016), (67619, 71153, 3534), (71153, 72286, 1133), (72286, 75452, 3166), (75452, 76441, 989), (76441, 83042, 6601)]",1.886
12,2. 최신기출 TEST 2,42,31.49,29.586,25.205,"[(0, 2251, 2251), (2251, 5356, 3105), (5356, 10028, 4672), (10028, 12154, 2126), (12154, 13601, 1447), (13601, 15193, 1592), (15193, 18146, 2953), (18146, 20647, 2501), (20647, 22544, 1897), (22544, 25875, 3331), (25875, 27126, 1251), (27126, 31490, 4364), (31490, 34405, 2915), (34405, 37626, 3221), (37626, 39570, 1944), (39570, 41772, 2202), (41772, 43067, 1295), (43067, 44716, 1649), (44716, 47689, 2973), (47689, 50368, 2679), (50368, 52199, 1831), (52199, 55538, 3339), (55538, 56709, 1171), (56709, 61076, 4367), (61076, 62057, 981), (62057, 66412, 4355), (66412, 67401, 989), (67401, 71698, 4297), (71698, 72836, 1138), (72836, 77319, 4483), (77319, 78351, 1032), (78351, 86281, 7930)]",1.904
13,2. 최신기출 TEST 2,44,24.531,22.23,19.798,"[(0, 2167, 2167), (2167, 4207, 2040), (4207, 6314, 2107), (6314, 9616, 3302), (9616, 11632, 2016), (11632, 14251, 2619), (14251, 18409, 4158), (18409, 19616, 1207), (19616, 24531, 4915), (24531, 26651, 2120), (26651, 28656, 2005), (28656, 31726, 3070), (31726, 34075, 2349), (34075, 36636, 2561), (36636, 40724, 4088), (40724, 41960, 1236), (41960, 46761, 4801), (46761, 47717, 956), (47717, 50475, 2758), (50475, 51484, 1009), (51484, 54898, 3414), (54898, 55962, 1064), (55962, 59191, 3229), (59191, 60180, 989), (60180, 66559, 6379)]",2.301
14,2. 최신기출 TEST 2,45,29.369,27.438,20.514,"[(0, 2235, 2235), (2235, 3244, 1009), (3244, 6868, 3624), (6868, 8610, 1742), (8610, 12617, 4007), (12617, 14751, 2134), (14751, 16101, 1350), (16101, 17499, 1398), (17499, 23256, 5757), (23256, 24429, 1173), (24429, 29369, 4940), (29369, 30364, 995), (30364, 33910, 3546), (33910, 35262, 1352), (35262, 37580, 2318), (37580, 40077, 2497), (40077, 42123, 2046), (42123, 50733, 8610), (50733, 51798, 1065), (51798, 56807, 5009), (56807, 57648, 841), (57648, 61477, 3829), (61477, 62422, 945), (62422, 65826, 3404), (65826, 66820, 994), (66820, 69794, 2974), (69794, 70903, 1109), (70903, 77321, 6418)]",1.931
15,2. 최신기출 TEST 2,52,37.833,35.472,25.724,"[(0, 2242, 2242), (2242, 9289, 7047), (9289, 16218, 6929), (16218, 18820, 2602), (18820, 21599, 2779), (21599, 24640, 3041), (24640, 32484, 7844), (32484, 33656, 1172), (33656, 37833, 4177), (37833, 45086, 7253), (45086, 51779, 6693), (51779, 54528, 2749), (54528, 57538, 3010), (57538, 63730, 6192), (63730, 68165, 4435), (68165, 69264, 1099), (69264, 73305, 4041), (73305, 74193, 888), (74193, 78947, 4754), (78947, 79894, 947), (79894, 84203, 4309), (84203, 85073, 870), (85073, 90412, 5339), (90412, 91388, 976), (91388, 99029, 7641)]",2.361
16,2. 최신기출 TEST 2,56,40.786,38.116,27.102,"[(0, 2339, 2339), (2339, 10661, 8322), (10661, 19324, 8663), (19324, 22934, 3610), (22934, 25477, 2543), (25477, 35592, 10115), (35592, 36647, 1055), (36647, 40786, 4139), (40786, 44716, 3930), (44716, 49352, 4636), (49352, 53925, 4573), (53925, 58127, 4202), (58127, 64037, 5910), (64037, 69386, 5349), (69386, 73583, 4197), (73583, 74762, 1179), (74762, 78902, 4140), (78902, 79806, 904), (79806, 84144, 4338), (84144, 85049, 905), (85049, 91394, 6345), (91394, 92363, 969), (92363, 97266, 4903), (97266, 98231, 965), (98231, 106004, 7773)]",2.67
17,2. 최신기출 TEST 2,57,44.937,40.414,26.4,"[(0, 2169, 2169), (2169, 6558, 4389), (6558, 9923, 3365), (9923, 15823, 5900), (15823, 28231, 12408), (28231, 39851, 11620), (39851, 40961, 1110), (40961, 44937, 3976), (44937, 49087, 4150), (49087, 52281, 3194), (52281, 57780, 5499), (57780, 69818, 12038), (69818, 75233, 5415), (75233, 80994, 5761), (80994, 82290, 1296), (82290, 85351, 3061), (85351, 86320, 969), (86320, 91094, 4774), (91094, 92082, 988), (92082, 96993, 4911), (96993, 98089, 1096), (98089, 102635, 4546), (102635, 103660, 1025), (103660, 111751, 8091)]",4.523
18,2. 최신기출 TEST 2,59,36.277,33.913,24.895,"[(0, 2212, 2212), (2212, 10751, 8539), (10751, 13797, 3046), (13797, 17524, 3727), (17524, 20463, 2939), (20463, 29081, 8618), (29081, 30180, 1099), (30180, 36277, 6097), (36277, 40558, 4281), (40558, 45263, 4705), (45263, 48116, 2853), (48116, 51420, 3304), (51420, 63131, 11711), (63131, 64275, 1144), (64275, 70190, 5915), (70190, 71248, 1058), (71248, 75991, 4743), (75991, 76887, 896), (76887, 81731, 4844), (81731, 82737, 1006), (82737, 86576, 3839), (86576, 87560, 984), (87560, 95085, 7525)]",2.364
19,2. 최신기출 TEST 2,60,40.599,38.878,26.48,"[(0, 2000, 2000), (2000, 6109, 4109), (6109, 9188, 3079), (9188, 13866, 4678), (13866, 20644, 6778), (20644, 24965, 4321), (24965, 33422, 8457), (33422, 34509, 1087), (34509, 40599, 6090), (40599, 45021, 4422), (45021, 48060, 3039), (48060, 52608, 4548), (52608, 55258, 2650), (55258, 59753, 4495), (59753, 63977, 4224), (63977, 72151, 8174), (72151, 73301, 1150), (73301, 79477, 6176), (79477, 80430, 953), (80430, 85060, 4630), (85060, 85966, 906), (85966, 90914, 4948), (90914, 91937, 1023), (91937, 97001, 5064), (97001, 97976, 975), (97976, 105957, 7981)]",1.721
20,3. 최신기출 TEST 3,37,34.203,31.886,25.966,"[(0, 2126, 2126), (2126, 5742, 3616), (5742, 6873, 1131), (6873, 10688, 3815), (10688, 14525, 3837), (14525, 18223, 3698), (18223, 22442, 4219), (22442, 27638, 5196), (27638, 28737, 1099), (28737, 34203, 5466), (34203, 37816, 3613), (37816, 38843, 1027), (38843, 42878, 4035), (42878, 46543, 3665), (46543, 59520, 12977), (59520, 60658, 1138), (60658, 66089, 5431), (66089, 66982, 893), (66982, 71527, 4545), (71527, 72507, 980), (72507, 77106, 4599), (77106, 78162, 1056), (78162, 83122, 4960), (83122, 84092, 970), (84092, 92055, 7963)]",2.317
21,3. 최신기출 TEST 3,41,26.219,23.149,20.874,"[(0, 2223, 2223), (2223, 4266, 2043), (4266, 6694, 2428), (6694, 9139, 2445), (9139, 11418, 2279), (11418, 14474, 3056), (14474, 15273, 799), (15273, 19577, 4304), (19577, 20725, 1148), (20725, 26219, 5494), (26219, 28249, 2030), (28249, 32778, 4529), (32778, 37893, 5115), (37893, 42851, 4958), (42851, 43970, 1119), (43970, 49368, 5398), (49368, 50263, 895), (50263, 53404, 3141), (53404, 54393, 989), (54393, 58225, 3832), (58225, 59263, 1038), (59263, 63253, 3990), (63253, 64251, 998), (64251, 70242, 5991)]",3.07
22,3. 최신기출 TEST 3,42,29.547,27.915,22.054,"[(0, 2077, 2077), (2077, 4456, 2379), (4456, 8974, 4518), (8974, 14768, 5794), (14768, 16832, 2064), (16832, 18707, 1875), (18707, 23136, 4429), (23136, 24343, 1207), (24343, 29547, 5204), (29547, 31998, 2451), (31998, 36530, 4532), (36530, 42615, 6085), (42615, 44810, 2195), (44810, 46657, 1847), (46657, 51046, 4389), (51046, 52253, 1207), (52253, 57462, 5209), (57462, 58405, 943), (58405, 62444, 4039), (62444, 63452, 1008), (63452, 67176, 3724), (67176, 68313, 1137), (68313, 71999, 3686), (71999, 73010, 1011), (73010, 79516, 6506)]",1.632
23,3. 최신기출 TEST 3,44,27.791,25.287,22.232,"[(0, 2267, 2267), (2267, 4022, 1755), (4022, 6103, 2081), (6103, 7056, 953), (7056, 9611, 2555), (9611, 14121, 4510), (14121, 22312, 8191), (22312, 23573, 1261), (23573, 27791, 4218), (27791, 29471, 1680), (29471, 31496, 2025), (31496, 32508, 1012), (32508, 35096, 2588), (35096, 39389, 4293), (39389, 47588, 8199), (47588, 48850, 1262), (48850, 53078, 4228), (53078, 54098, 1020), (54098, 57625, 3527), (57625, 58630, 1005), (58630, 62676, 4046), (62676, 63798, 1122), (63798, 67585, 3787), (67585, 68621, 1036), (68621, 75310, 6689)]",2.504
24,3. 최신기출 TEST 3,45,28.846,26.793,20.873,"[(0, 2385, 2385), (2385, 5182, 2797), (5182, 8415, 3233), (8415, 11519, 3104), (11519, 14508, 2989), (14508, 18350, 3842), (18350, 22626, 4276), (22626, 23719, 1093), (23719, 28846, 5127), (28846, 31606, 2760), (31606, 34957, 3351), (34957, 38006, 3049), (38006, 41093, 3087), (41093, 45126, 4033), (45126, 49409, 4283), (49409, 50599, 1190), (50599, 55639, 5040), (55639, 56526, 887), (56526, 59988, 3462), (59988, 60983, 995), (60983, 64268, 3285), (64268, 65279, 1011), (65279, 69035, 3756), (69035, 69973, 938), (69973, 76512, 6539)]",2.053
25,3. 최신기출 TEST 3,52,36.796,34.987,21.891,"[(0, 2158, 2158), (2158, 5180, 3022), (5180, 9817, 4637), (9817, 17269, 7452), (17269, 23826, 6557), (23826, 30894, 7068), (30894, 31986, 1092), (31986, 36796, 4810), (36796, 44271, 7475), (44271, 51805, 7534), (51805, 58819, 7014), (58819, 65681, 6862), (65681, 66751, 1070), (66751, 71783, 5032), (71783, 72670, 887), (72670, 76555, 3885), (76555, 77492, 937), (77492, 81392, 3900), (81392, 82368, 976), (82368, 85903, 3535), (85903, 86842, 939), (86842, 93674, 6832)]",1.809
26,3. 최신기출 TEST 3,56,42.531,40.845,25.815,"[(0, 2350, 2350), (2350, 11647, 9297), (11647, 14263, 2616), (14263, 18772, 4509), (18772, 22316, 3544), (22316, 29037, 6721), (29037, 34756, 5719), (34756, 35839, 1083), (35839, 42531, 6692), (42531, 52069, 9538), (52069, 59289, 7220), (59289, 62901, 3612), (62901, 69856, 6955), (69856, 75556, 5700), (75556, 76685, 1129), (76685, 83376, 6691), (83376, 84255, 879), (84255, 89293, 5038), (89293, 90277, 984), (90277, 94936, 4659), (94936, 95931, 995), (95931, 100878, 4947), (100878, 101829, 951), (101829, 109191, 7362)]",1.686
27,3. 최신기출 TEST 3,57,44.057,40.484,25.251,"[(0, 2203, 2203), (2203, 8057, 5854), (8057, 15873, 7816), (15873, 18067, 2194), (18067, 20205, 2138), (20205, 28892, 8687), (28892, 38795, 9903), (38795, 39937, 1142), (39937, 44057, 4120), (44057, 50047, 5990), (50047, 57468, 7421), (57468, 59497, 2029), (59497, 67548, 8051), (67548, 70003, 2455), (70003, 70804, 801), (70804, 79068, 8264), (79068, 80230, 1162), (80230, 84541, 4311), (84541, 85465, 924), (85465, 89248, 3783), (89248, 90219, 971), (90219, 95298, 5079), (95298, 96375, 1077), (96375, 101654, 5279), (101654, 102715, 1061), (102715, 109792, 7077)]",3.573
28,3. 최신기출 TEST 3,59,37.743,35.252,26.609,"[(0, 2143, 2143), (2143, 10223, 8080), (10223, 23619, 13396), (23619, 31635, 8016), (31635, 32789, 1154), (32789, 37743, 4954), (37743, 45412, 7669), (45412, 50620, 5208), (50620, 58737, 8117), (58737, 67016, 8279), (67016, 68198, 1182), (68198, 72995, 4797), (72995, 73916, 921), (73916, 78914, 4998), (78914, 79905, 991), (79905, 84741, 4836), (84741, 85824, 1083), (85824, 90421, 4597), (90421, 91425, 1004), (91425, 99604, 8179)]",2.491
29,3. 최신기출 TEST 3,60,39.937,37.59,25.167,"[(0, 1998, 1998), (1998, 9110, 7112), (9110, 16105, 6995), (16105, 26146, 10041), (26146, 33646, 7500), (33646, 34697, 1051), (34697, 39937, 5240), (39937, 46677, 6740), (46677, 53826, 7149), (53826, 63989, 10163), (63989, 71255, 7266), (71255, 72347, 1092), (72347, 77527, 5180), (77527, 78366, 839), (78366, 82603, 4237), (82603, 83548, 945), (83548, 87918, 4370), (87918, 88828, 910), (88828, 93656, 4828), (93656, 94588, 932), (94588, 102694, 8106)]",2.347
