,folder,no,sl0,sl1,sl2,dur,diff
0,서울대 최신기출 1,37,24.989,22.864,21.37,"[(0, 2274, 2274), (2274, 5093, 2819), (5093, 7180, 2087), (7180, 9322, 2142), (9322, 12038, 2716), (12038, 14636, 2598), (14636, 19464, 4828), (19464, 20537, 1073), (20537, 24989, 4452), (24989, 27710, 2721), (27710, 29856, 2146), (29856, 32001, 2145), (32001, 34837, 2836), (34837, 37380, 2543), (37380, 42300, 4920), (42300, 43368, 1068), (43368, 47853, 4485), (47853, 48747, 894), (48747, 51763, 3016), (51763, 52715, 952), (52715, 56402, 3687), (56402, 57346, 944), (57346, 61061, 3715), (61061, 61906, 845), (61906, 69223, 7317)]",2.125
1,서울대 최신기출 1,41,31.476,29.0,22.854,"[(0, 2057, 2057), (2057, 5353, 3296), (5353, 6387, 1034), (6387, 9608, 3221), (9608, 13649, 4041), (13649, 17339, 3690), (17339, 19856, 2517), (19856, 25865, 6009), (25865, 26942, 1077), (26942, 31476, 4534), (31476, 34698, 3222), (34698, 38977, 4279), (38977, 42804, 3827), (42804, 46522, 3718), (46522, 48984, 2462), (48984, 54865, 5881), (54865, 55927, 1062), (55927, 60476, 4549), (60476, 61324, 848), (61324, 64829, 3505), (64829, 65778, 949), (65778, 70221, 4443), (70221, 71187, 966), (71187, 74642, 3455), (74642, 75574, 932), (75574, 83330, 7756)]",2.476
2,서울대 최신기출 1,42,27.976,25.587,17.803,"[(0, 2103, 2103), (2103, 4632, 2529), (4632, 6572, 1940), (6572, 10251, 3679), (10251, 14250, 3999), (14250, 17953, 3703), (17953, 21837, 3884), (21837, 23008, 1171), (23008, 27976, 4968), (27976, 30443, 2467), (30443, 32319, 1876), (32319, 33429, 1110), (33429, 35965, 2536), (35965, 39876, 3911), (39876, 43540, 3664), (43540, 47253, 3713), (47253, 48444, 1191), (48444, 53563, 5119), (53563, 54525, 962), (54525, 57190, 2665), (57190, 58130, 940), (58130, 60777, 2647), (60777, 61778, 1001), (61778, 64467, 2689), (64467, 65403, 936), (65403, 71366, 5963)]",2.389
3,서울대 최신기출 1,44,28.326,26.3,18.49,"[(0, 2109, 2109), (2109, 5556, 3447), (5556, 8361, 2805), (8361, 11922, 3561), (11922, 14889, 2967), (14889, 18389, 3500), (18389, 22898, 4509), (22898, 24109, 1211), (24109, 28326, 4217), (28326, 31604, 3278), (31604, 34634, 3030), (34634, 38242, 3608), (38242, 41308, 3066), (41308, 44814, 3506), (44814, 49276, 4462), (49276, 50418, 1142), (50418, 54626, 4208), (54626, 55619, 993), (55619, 58040, 2421), (58040, 59068, 1028), (59068, 62124, 3056), (62124, 63113, 989), (63113, 66077, 2964), (66077, 67041, 964), (67041, 73116, 6075)]",2.026
4,서울대 최신기출 1,45,28.755,26.278,22.079,"[(0, 2303, 2303), (2303, 5850, 3547), (5850, 8744, 2894), (8744, 12805, 4061), (12805, 16560, 3755), (16560, 18934, 2374), (18934, 19744, 810), (19744, 23434, 3690), (23434, 24495, 1061), (24495, 28755, 4260), (28755, 32189, 3434), (32189, 34966, 2777), (34966, 39171, 4205), (39171, 42923, 3752), (42923, 45277, 2354), (45277, 49700, 4423), (49700, 50780, 1080), (50780, 55033, 4253), (55033, 55889, 856), (55889, 59730, 3841), (59730, 60649, 919), (60649, 63989, 3340), (63989, 64967, 978), (64967, 69372, 4405), (69372, 70319, 947), (70319, 77112, 6793)]",2.477
5,서울대 최신기출 1,52,42.396,40.82,23.807,"[(0, 2114, 2114), (2114, 11289, 9175), (11289, 14428, 3139), (14428, 19716, 5288), (19716, 21691, 1975), (21691, 23845, 2154), (23845, 28921, 5076), (28921, 37257, 8336), (37257, 38392, 1135), (38392, 42396, 4004), (42396, 44561, 2165), (44561, 52167, 7606), (52167, 60661, 8494), (60661, 62771, 2110), (62771, 64957, 2186), (64957, 78190, 13233), (78190, 79245, 1055), (79245, 83216, 3971), (83216, 84123, 907), (84123, 87828, 3705), (87828, 88754, 926), (88754, 93545, 4791), (93545, 94486, 941), (94486, 98443, 3957), (98443, 99414, 971), (99414, 107023, 7609)]",1.576
6,서울대 최신기출 1,56,43.351,40.549,23.854,"[(0, 2409, 2409), (2409, 9126, 6717), (9126, 13602, 4476), (13602, 22387, 8785), (22387, 27855, 5468), (27855, 36979, 9124), (36979, 38023, 1044), (38023, 43351, 5328), (43351, 54089, 10738), (54089, 63171, 9082), (63171, 68744, 5573), (68744, 77362, 8618), (77362, 78540, 1178), (78540, 83900, 5360), (83900, 84763, 863), (84763, 88886, 4123), (88886, 89812, 926), (89812, 94219, 4407), (94219, 95135, 916), (95135, 99665, 4530), (99665, 100589, 924), (100589, 107754, 7165)]",2.802
7,서울대 최신기출 1,57,40.854,38.233,23.547,"[(0, 2127, 2127), (2127, 7989, 5862), (7989, 12857, 4868), (12857, 16325, 3468), (16325, 23346, 7021), (23346, 35063, 11717), (35063, 36299, 1236), (36299, 40854, 4555), (40854, 54449, 13595), (54449, 61675, 7226), (61675, 73377, 11702), (73377, 74603, 1226), (74603, 79087, 4484), (79087, 80088, 1001), (80088, 84454, 4366), (84454, 85495, 1041), (85495, 89474, 3979), (89474, 90470, 996), (90470, 94450, 3980), (94450, 95409, 959), (95409, 102634, 7225)]",2.621
8,서울대 최신기출 1,59,34.903,33.466,22.667,"[(0, 2176, 2176), (2176, 11321, 9145), (11321, 16104, 4783), (16104, 19544, 3440), (19544, 23611, 4067), (23611, 25623, 2012), (25623, 29904, 4281), (29904, 31090, 1186), (31090, 34903, 3813), (34903, 44125, 9222), (44125, 49152, 5027), (49152, 52583, 3431), (52583, 56735, 4152), (56735, 58861, 2126), (58861, 63300, 4439), (63300, 64477, 1177), (64477, 68369, 3892), (68369, 69429, 1060), (69429, 73527, 4098), (73527, 74525, 998), (74525, 78758, 4233), (78758, 79808, 1050), (79808, 83381, 3573), (83381, 84342, 961), (84342, 91036, 6694)]",1.437
9,서울대 최신기출 1,60,41.806,39.927,23.728,"[(0, 1963, 1963), (1963, 6370, 4407), (6370, 11917, 5547), (11917, 17965, 6048), (17965, 25418, 7453), (25418, 36114, 10696), (36114, 37174, 1060), (37174, 41806, 4632), (41806, 46353, 4547), (46353, 51971, 5618), (51971, 57782, 5811), (57782, 65648, 7866), (65648, 67054, 1406), (67054, 69788, 2734), (69788, 75933, 6145), (75933, 77001, 1068), (77001, 81733, 4732), (81733, 82590, 857), (82590, 86888, 4298), (86888, 87852, 964), (87852, 91918, 4066), (91918, 92888, 970), (92888, 96906, 4018), (96906, 97868, 962), (97868, 105461, 7593)]",1.879
